franchise,n_characters,n_dead,n_unlabelled,mortality,ci_low,ci_high,mortality_upper,mortality_adjusted,female_ratio,median_billing,n_titles,n_tv,first_year,last_year,mean_rating,mean_popularity,total_seasons,total_episodes,run_span,genre,medium,content_rating
Lost,720,167,330,23.194444444444443,20.258578032747955,26.41483780850792,69.02777777777777,27.09027777777778,0.24358974358974358,654.5,1,1,2004.0,2004.0,7.965,96.9128,6.0,118.0,0.0,Drama,TV,TV-14
Harry Potter,727,167,0,22.97111416781293,20.060145175307824,26.166232742971594,22.97111416781293,22.97111416781293,0.3246217331499312,38.0,8,0,2001.0,2011.0,7.82375,35.436675,0.0,0.0,10.0,Fantasy,Film,PG-13
Breaking Bad / Better Call Saul,523,114,12,21.797323135755256,18.471414908797186,25.53452539660011,24.091778202676863,21.992351816443595,0.15851272015655576,670.0,3,2,2008.0,2019.0,8.235666666666667,76.27263333333333,11.0,125.0,11.0,Crime,TV,TV-MA
The Boys,44,9,7,20.454545454545453,11.153127823467596,34.50086368183322,36.36363636363637,21.806818181818183,0.2972972972972973,657.0,1,1,2019.0,2019.0,8.438,124.1691,5.0,40.0,0.0,Superhero,TV,TV-MA
Ozark,147,29,1,19.727891156462587,14.101578524227426,26.896130330624285,20.408163265306122,19.785714285714285,0.3219178082191781,658.5,1,1,2017.0,2017.0,8.195,36.0193,4.0,44.0,0.0,Crime,TV,TV-MA
Boardwalk Empire,549,108,440,19.672131147540984,16.562469310846538,23.203279142236582,99.81785063752277,26.484517304189435,0.045871559633027525,598.0,1,1,2010.0,2010.0,8.021,37.8118,5.0,56.0,0.0,Crime,TV,TV-MA
Transformers,64,11,2,17.1875,9.87764126731623,28.21344149016591,20.3125,17.453125,0.04838709677419355,65.5,5,0,2007.0,2017.0,6.2674,8.52462,0.0,0.0,10.0,Sci-Fi,Film,PG-13
Dune,272,41,0,15.073529411764707,11.309659949550424,19.81022914622048,15.073529411764707,15.073529411764707,0.2536764705882353,8.0,4,1,2021.0,2026.0,5.781499999999999,32.625750000000004,2.0,14.0,5.0,Sci-Fi,Film,PG-13
The Wire,252,36,214,14.285714285714286,10.500645690263285,19.14332151444463,99.2063492063492,21.503968253968253,0.10526315789473684,560.0,1,1,2002.0,2002.0,8.634,76.215,5.0,60.0,0.0,Crime,TV,TV-MA
Fast & Furious,94,11,15,11.702127659574469,6.661294284952519,19.75037518897268,27.659574468085108,13.058510638297872,0.25316455696202533,12.0,11,0,2001.0,2028.0,6.265181818181818,8.947454545454546,0.0,0.0,27.0,Action,Film,PG-13
Grey's Anatomy,550,51,0,9.272727272727273,7.123100262788262,11.987345756434564,9.272727272727273,9.272727272727273,0.3890909090909091,1458.0,1,1,2005.0,2005.0,8.206,229.279,23.0,466.0,0.0,Drama,TV,TV-14
Prison Break,191,12,163,6.282722513089006,3.6301274070075564,10.659223532422214,91.62303664921465,13.536649214659686,0.2857142857142857,529.5,1,1,2005.0,2005.0,8.064,100.9918,5.0,88.0,0.0,Action,TV,TV-14
