cost_ratio,threshold,loss,FN,FP
1.0,0.4,0.4378632274500438,467,5033
1.0,0.41,0.4306981928190431,513,4897
1.0,0.42,0.42225937425364224,560,4744
1.0,0.43,0.4170050155242417,627,4611
1.0,0.44,0.40936231191784095,697,4445
1.0,0.45,0.4010031048483401,764,4273
1.0,0.46,0.3919273943157392,836,4087
1.0,0.47,0.3848419711806385,901,3933
1.0,0.48,0.3768808215906377,991,3743
1.0,0.49,0.36963617546373695,1084,3559
1.0,0.5,0.35952551548443595,1192,3324
1.0,0.51,0.35251970384523523,1307,3121
1.0,0.52,0.34822068306663484,1425,2949
1.0,0.53,0.34169254040283414,1531,2761
1.0,0.54,0.3363585701775336,1639,2586
1.0,0.55,0.3319799379030332,1770,2400
1.0,0.56,0.3282381975957328,1893,2230
1.0,0.57,0.3232226733540323,2021,2039
1.0,0.58,0.320038213518032,2159,1861
1.0,0.59,0.31653530769843163,2285,1691
1.0,0.6,0.3153411352599315,2426,1535
1.0,0.61,0.3150226892763315,2566,1391
1.0,0.62,0.31470424329273144,2708,1245
1.0,0.63,0.3139081283337314,2851,1092
1.0,0.64,0.31542074675583154,2997,965
1.0,0.65,0.319480933046732,3157,856
1.0,0.66,0.3211527744606321,3294,740
1.0,0.67,0.3243372342966324,3427,647
1.0,0.68,0.32768091712443276,3558,558
1.0,0.69,0.32768091712443276,3654,462
1.0,0.7,0.3319799379030332,3782,388
1.0,0.71,0.33436828278003344,3896,304
1.0,0.72,0.33548284372263354,3978,236
1.0,0.73,0.33731390812833373,4058,179
1.0,0.74,0.339861475997134,4143,126
1.0,0.75,0.3427274898495343,4213,92
1.0,0.76,0.34471777724703445,4263,67
1.0,0.77,0.3459915611814346,4302,44
1.0,0.78,0.34654884165273464,4322,31
1.0,0.79,0.3471061221240347,4344,16
1.0,0.8,0.3476634025953348,4359,8
1.0,0.81,0.3481410715707348,4369,4
1.0,0.82,0.3487779635379349,4379,2
1.0,0.83,0.3490167980256349,4382,2
1.0,0.84,0.3492556325133349,4386,1
1.0,0.85,0.34941485550513496,4389,0
1.0,0.86,0.34957407849693495,4391,0
1.0,0.87,0.34965368999283497,4392,0
1.0,0.88,0.34965368999283497,4392,0
1.0,0.89,0.349733301488735,4393,0
1.0,0.9,0.349733301488735,4393,0
1.0,0.91,0.349733301488735,4393,0
1.0,0.92,0.349733301488735,4393,0
1.0,0.93,0.349733301488735,4393,0
