k,silhouette,mean_distance_to_centroid,stability
2,0.4275332759888526,2.4069909576465642,0.9254847645429362
3,0.3449029184368504,2.1237029485257954,0.8013542628501079
4,0.27604483847449035,1.8190414887891468,1.0
5,0.29185702440655087,1.6157027581363654,0.9608494921514313
6,0.23543200905386316,1.4611423013455382,0.85284702985534
7,0.24896075975849277,1.3210352352595538,0.9141274238227145
8,0.23982346844318086,1.2131126909460181,0.9111726685133886
