page_url,franchise,is_named,infobox_field_count_clean,raw_is_dead,has_actor,tmdb_match,billing_order,episode_count,is_onscreen
https://james-camerons-avatar.fandom.com/wiki/Paul_Frommer,Avatar,1,11,0.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Cordell_Lovecraft,Avatar,1,9,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Kusati,Avatar,1,12,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Olewski,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Fmilam,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tse'huk,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Mendala,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Oloniwin,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tsamlok,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Lawrence,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Lompo,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Omati,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Onantu,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Ukamtsu,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Nera'nak,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Malimi,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Mukata,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tsa'law,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Mel,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Moran,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Seyvaro,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Atanwey,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tsu'hak,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Eywaftia,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Niwintul,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Frapohu,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Sevineyo,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Naalot,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tsaro,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Li'ona_Tsahìk,Avatar,1,13,0.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Au_Tsum,Avatar,1,9,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Sevineyo's_Mother,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Otamu,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Ikalu,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Taronyu,Avatar,1,12,1.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Entu,Avatar,1,18,1.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Ralu,Avatar,1,16,1.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Tsyal,Avatar,1,18,1.0,1,0,,,1
