feature,importance,std
page_text_length,0.16670317315253452,0.0029815677735708615
archetype,0.1108376987581015,0.0016490232097492413
gender,0.1067318356563072,0.004136491406484708
infobox_field_count_clean,0.10135258050491495,0.0014493620776779763
prominence_tier,0.10131222918068283,0.0031465641547027546
billing_order,0.09160708208321147,0.0014156454357316225
affiliation_alignment,0.06798750333849643,0.0012943147367257637
appearance_count,0.06326804546320333,0.0005361867391206851
episode_count,0.06253888631329292,0.0013236483615628183
has_family,0.03204714672616218,0.0007180532834778875
is_human,0.024556612081140128,0.000548160429813955
has_alias,0.024053126565974935,0.0002681533152370163
has_dob,0.02260236616734814,0.0005262768406933994
has_image,0.005846620569588068,0.0002628087242183021
