threshold,accuracy,precision,recall,f1,tp_rate,fp_rate,TP,FP,FN,TN
0.3,0.4978902953586498,0.4064881766660152,0.9469610744366037,0.5688111027551787,0.9469610744366037,0.7436336924583742,4160,6074,233,2094
0.4,0.5621367725499562,0.4382185511775868,0.8936945139995447,0.5880766926303176,0.8936945139995447,0.6161851126346719,3926,5033,467,3135
0.5,0.6404744845155641,0.49057471264367813,0.7286592305941271,0.5863711302436344,0.7286592305941271,0.4069539666993144,3201,3324,1192,4844
0.6,0.6846588647400684,0.5616790405482581,0.44775779649442293,0.49829005699810014,0.44775779649442293,0.18792850146914789,1967,1535,2426,6633
0.7,0.6680200620969668,0.6116116116116116,0.13908490780787616,0.22663204747774476,0.13908490780787616,0.047502448579823706,611,388,3782,7780
