-6.598320349983128885e-01,2.021530257278127130e-01,-3.191960639944081413e-01,7.475450015964020256e-01,4.789196198062439791e-01,-4.867305657346670394e-02,5.016872177189629634e-01,7.311004187617002881e-01
-4.297699353143862866e-01,1.201732750050248821e+00,-3.786541543463077253e-01,0.000000000000000000e+00,8.083122994919891280e-01,-7.885035164901595950e-01,4.043089621014442914e-01,-1.512285533876608044e-02
-3.509815450116717250e-01,-1.135093787533782983e+00,-3.191960639944081413e-01,7.475450015964020256e-01,4.789196198062439791e-01,-4.867305657346670394e-02,1.509160818924161485e-01,-1.587457358314215694e-01
-5.904982515319240344e-01,1.618749329236712331e+00,-2.002798832906090287e-01,-7.475450015964020256e-01,6.436159596491165535e-01,-1.010452654465167521e+00,-4.414683064474889118e-01,-8.853009389583619271e-01
-5.621344310229468011e-01,-5.224144847215705934e-01,-2.002798832906090287e-01,0.000000000000000000e+00,-2.622139094866826614e-01,4.692082653682183024e-01,6.652931579365682913e-01,-1.291986245349226181e-01
-4.266183997022777175e-01,-7.755787848130806239e-01,-3.191960639944081413e-01,7.475450015964020256e-01,7.259641295705528963e-01,-4.185882865318131252e-01,3.592846073535591045e-01,2.657063650626307894e-01
7.289999481693272554e-02,1.411130544985586543e-02,1.564686588207883366e-01,-7.475450015964020256e-01,-2.073873647758281091e+00,2.170818323176611830e+00,-5.371188833363099713e-01,-7.908974539544402216e-01
-6.614078028043671731e-01,-6.395926038934170998e-01,-3.786541543463077253e-01,0.000000000000000000e+00,7.259641295705528963e-01,-5.665543785151516687e-01,1.058732722971865714e+00,3.041567735310792830e-01
-4.140122572538433854e-01,4.932405387794263074e-01,-3.786541543463077253e-01,0.000000000000000000e+00,9.730086393348617024e-01,-7.885035164901595950e-01,5.289112461711722446e-01,-2.858317328911272326e-01
-1.540105692548852656e-01,1.109296985501622979e-01,-3.786541543463077253e-01,0.000000000000000000e+00,6.717877019906250136e-02,-1.226561025651359965e-01,8.377992613020112111e-01,2.499176692457201643e+00
-1.461317302246138150e-01,7.632587833814853395e-01,-3.786541543463077253e-01,0.000000000000000000e+00,1.220053149099170620e+00,-7.145204704984903232e-01,9.676369354587033289e-01,1.201424895900043088e+00
-6.283166788772270861e-01,-3.801235307252745499e-01,-2.002798832906090287e-01,-7.475450015964020256e-01,-4.269102493295552359e-01,3.952252193765490307e-01,-4.179090510561537797e-01,-7.399286151517514565e-01
-6.361955179074985089e-01,6.203244745897075196e-01,3.755247811698921023e-02,-7.475450015964020256e-01,-6.739547590938641530e-01,9.131065413182339885e-01,-4.850529289214587925e-01,-8.666349437527909316e-01
1.026239517479779151e+00,-8.937135648006259148e-01,1.167256194803080849e+00,-7.475450015964020256e-01,-3.473792536422698252e+00,3.132597921068312363e+00,-1.176352256821075581e+00,-9.741284630685860257e-01
5.850245317845774728e-01,-8.976501413362243387e-01,-3.786541543463077253e-01,0.000000000000000000e+00,5.612677897276803218e-01,-6.405374245068210515e-01,1.032555772537048444e+00,2.166594783063295004e+00
-2.794914477054194143e-02,-7.111826939926431113e-01,-3.786541543463077253e-01,0.000000000000000000e+00,3.142232799633714047e-01,-7.885035164901595950e-01,9.278479707977814739e-01,1.524100413276451849e-01
-6.330439822953899398e-01,1.533598731758035294e+00,-3.786541543463077253e-01,0.000000000000000000e+00,9.730086393348617024e-01,-5.665543785151516687e-01,1.090145063493645372e+00,1.164549656698948610e+00
-3.903757401630290058e-01,1.589420213222035416e+00,-1.408217929387094725e-01,-7.475450015964020256e-01,3.965714498848076919e-01,3.952252193765490307e-01,-3.083926745040511452e+00,-5.985375915152350013e-01
1.007330303807127736e+00,-7.288215419851061805e-01,-3.191960639944081413e-01,7.475450015964020256e-01,1.495269401204988025e-01,1.732760814015411599e-01,9.137124175629817158e-01,2.547366756238424457e-01
1.926583480770588941e-01,6.212470349462019259e-01,5.726752912840852305e-01,-7.475450015964020256e-01,9.730086393348617024e-01,-7.145204704984903232e-01,-5.678105878108259397e-01,-7.935757317490857998e-01
-1.240709809398537339e-01,1.948771488703255061e-01,1.564686588207883366e-01,7.475450015964020256e-01,-9.209992688581730702e-01,1.135055679293241804e+00,-1.254262617448552497e+00,-8.510637491989452297e-01
-7.994948237033357163e-02,-8.670712209441460150e-01,-8.136370258680991618e-02,0.000000000000000000e+00,-1.909177307915408628e+00,1.874886139209934743e+00,-5.108372250997537112e-01,-8.921688046373192904e-01
2.145034659778326080e+00,-7.711193491259599186e-02,5.726752912840852305e-01,5.232815011174814401e+00,-2.238569987601153777e+00,2.318784415159950374e+00,6.751939744831703116e-02,-6.776102663701843998e-01
-3.525573128177260096e-01,-1.389853480422840626e+00,-1.408217929387094725e-01,-7.475450015964020256e-01,-9.751756964381007309e-02,-1.966391485568052822e-01,-3.839313693917616455e-01,-7.446152464357255196e-01
5.017659370215299397e+00,6.069940194987628601e-01,5.745529151899347653e+00,-7.475450015964020256e-01,-1.798657395652463742e-01,6.911574033432261732e-01,-1.377072787219281391e+00,-5.037011025339894754e-01
-5.747405734713811887e-01,2.111897465654924311e+00,-1.408217929387094725e-01,-7.475450015964020256e-01,3.142232799633714047e-01,-9.364696084734981385e-01,-1.356457431946077374e+00,-8.460515510147279539e-01
-3.021327430239886813e-01,1.337436743149815199e-01,-3.786541543463077253e-01,0.000000000000000000e+00,-4.269102493295552359e-01,-6.405374245068210515e-01,1.241971376015582607e+00,8.018719600266623893e-01
4.053870018943882547e-01,-8.079774095224410979e-02,-3.786541543463077253e-01,0.000000000000000000e+00,-1.516939972237378587e-02,-7.885035164901595950e-01,4.723690332319676055e-01,6.794396545410237298e-01
9.496074410169280666e-02,-9.069696820820136729e-01,-2.597379736425086127e-01,7.475450015964020256e-01,3.142232799633714047e-01,-1.966391485568052822e-01,7.557781499395852531e-01,2.841599438249546861e-01
-4.975279509747208562e-01,6.798359364901448432e-01,-3.786541543463077253e-01,0.000000000000000000e+00,1.055356809256297934e+00,-8.624865624818288667e-01,7.131969772322831469e-01,-4.867314066336572154e-01
1.359307070591043998e-01,-2.000813383770935427e+00,-3.786541543463077253e-01,0.000000000000000000e+00,4.789196198062439791e-01,-9.364696084734981385e-01,5.310054022059583767e-01,-4.524032496521138702e-01
1.138699577743443048e-01,1.165814582648183606e+00,3.755247811698921023e-02,-7.475450015964020256e-01,-2.622139094866826614e-01,-4.925713325234824524e-01,3.244692632752529393e-01,-4.978892545897921074e-01
-6.283166788772270861e-01,-1.976385328826896659e+00,-1.408217929387094725e-01,-7.475450015964020256e-01,2.318751100419350897e-01,-4.925713325234824524e-01,-1.305150609093836067e+00,-1.013281861973854170e+00
-3.100115820542601597e-01,7.271900584198848216e-02,-2.002798832906090287e-01,0.000000000000000000e+00,1.384749488942043305e+00,-8.624865624818288667e-01,-1.813925817744937330e+00,-5.517212627701797434e-01
-3.320723313390201992e-01,-1.424069275401777857e+00,-3.786541543463077253e-01,0.000000000000000000e+00,-1.798657395652463742e-01,-7.885035164901595950e-01,1.172864226867667226e+00,2.830562081964826393e-01
-5.810436446955983270e-01,1.218202997198748749e-02,2.159267491726878929e-01,-7.475450015964020256e-01,-2.622139094866826614e-01,7.651404493348954450e-01,-1.307473218514234370e+00,-1.005184160075062838e+00
1.375064748651586843e-01,1.332145207541288512e+00,-3.786541543463077253e-01,0.000000000000000000e+00,6.717877019906250136e-02,3.212421733848797589e-01,7.247148354236017109e-01,3.214383974011246980e+00
-4.408003099567663341e-01,3.282682245909238627e-01,-3.786541543463077253e-01,0.000000000000000000e+00,6.717877019906250136e-02,-3.446052405401438534e-01,5.760297569538426199e-01,7.575565596053001061e-01
