term,coef,ci_low,ci_high,p,r_squared,r_squared_adj,n_franchises
Intercept,-53.97920583404816,-159.25152483918203,51.29311317108571,0.304101826646477,0.07931796196066987,-0.06453860648297538,38
C(medium)[T.TV],0.15950005236539622,-0.7984269456578797,1.117427050388672,0.736704597498455,0.07931796196066987,-0.06453860648297538,38
first_year,0.02633081832305128,-0.02541586832827194,0.07807750497437449,0.3077500798102347,0.07931796196066987,-0.06453860648297538,38
n_titles,-0.003837058019196287,-0.012197698033161404,0.004523581994768831,0.3568738870400748,0.07931796196066987,-0.06453860648297538,38
run_span,0.032170067072054505,-0.01623403425546807,0.08057416839957708,0.1852930005166749,0.07931796196066987,-0.06453860648297538,38
mean_rating,-0.026486659251998564,-0.5221599668026241,0.469186648298627,0.9140051099318495,0.07931796196066987,-0.06453860648297538,38
