cluster,n,entropy,purity,dominant,weight
0,6,-0.0,1.0,Film,0.15789473684210525
1,32,0.954434002924965,0.625,TV,0.8421052631578947
weighted overall,38,0.8037338971999706,0.6842105263157894,,1.0
