season,part,character,cause_of_death,responsible_party,kill_points
9,Part 2 - 54 Deaths [ ],Tammy Rose Sutton,"Decapitated by Alpha , later put down by the sur vi vo rs .","Alpha (Alive) Daryl Dixon , Michonne Grimes , Carol Peletier , or Yumiko Okumura (Zombified)",2
9,Part 2 - 54 Deaths [ ],Rodney,"Decapitated by Alpha , later put down by the sur vi vo rs .","Alpha (Alive) Daryl Dixon , Michonne Grimes , Carol Peletier , or Yumiko Okumura (Zombified)",2
9,Part 2 - 54 Deaths [ ],Adeline,"Decapitated by Alpha , later put down by the sur vi vo rs .","Alpha (Alive) Daryl Dixon , Michonne Grimes , Carol Peletier , or Yumiko Okumura (Zombified)",2
9,Part 2 - 54 Deaths [ ],Enid,"Decapitated by Alpha , later put down by the sur vi vo rs .","Alpha (Alive) Daryl Dixon , Michonne Grimes , Carol Peletier , or Yumiko Okumura (Zombified)",2
9,Part 2 - 54 Deaths [ ],Tara Chambler,"Decapitated by Alpha , later put down by the sur vi vo rs .","Alpha (Alive) Daryl Dixon , Michonne Grimes , Carol Peletier , or Yumiko Okumura (Zombified)",2
9,Part 2 - 54 Deaths [ ],Henry Sutton,"Decapitated by Alpha , later put down by the sur vi vo rs .","Alpha (Alive) Daryl Dixon , Michonne Grimes , Carol Peletier , or Yumiko Okumura (Zombified)",2
10,Part 1 - 16 Deaths [ ],Injured Woman,Devoured by walkers .,"Herself (Caused, Accidental) Zombies",2
10,Part 1 - 16 Deaths [ ],Frances,Devoured by walkers .,Alpha (Indirectly Caused) Herself (Caused) Mary (Caused) Zombies,4
10,Part 1 - 16 Deaths [ ],Zombified - Beta's Best Friend,Stabbed in the head by Alpha .,Alpha,1
10,Part 1 - 16 Deaths [ ],Whisperer 10,Shot through the back by Carol Peletier .,Carol Peletier (Alive),1
10,Part 1 - 16 Deaths [ ],Margo,Head accidentally smashed against a wall by Negan Smith .,Herself (Caused) Negan Smith (Accidental),2
10,Part 1 - 16 Deaths [ ],Whisperer 11,Nape slashed with a pair of scissors by Beta .,"Himself (Caused, Accidental) Alpha (Caused) Beta",3
10,Part 1 - 16 Deaths [ ],Zombified - Whisperer 11,Stabbed in the back of the head by Mary .,Mary,1
10,Part 1 - 16 Deaths [ ],Amelia,Head bashed with a tire iron by Brandon .,Brandon,1
10,Part 1 - 16 Deaths [ ],Milo,Head bashed with a tire iron by Brandon .,Brandon,1
10,Part 1 - 16 Deaths [ ],Brandon,Head bashed in with a rock by Negan Smith .,Himself (Caused) Negan Smith,2
10,Part 1 - 16 Deaths [ ],Whisperer 13,Throat slit by Beta .,Himself (Indirectly Caused) Beta (Alive) Negan Smith (Before Reanimation),3
10,Part 1 - 16 Deaths [ ],Whisperer 12,"Poisoned with hemlock plants by Dante , then stabbed in the head before reanimation by Daryl Dixon .",Dante (Alive) Daryl Dixon (Before Reanimation),2
10,Part 1 - 16 Deaths [ ],Cheryl,Suffocated by Dante .,Dante,1
10,Part 1 - 16 Deaths [ ],Siddiq,Strangled by Dante .,Dante,1
10,Part 1 - 16 Deaths [ ],Zombified - Siddiq,Stabbed in the head by Rosita Espinosa .,Rosita Espinosa,1
10,Part 1 - 16 Deaths [ ],Dante,Stabbed repeatedly by Gabriel Stokes .,Gabriel Stokes,1
10,Part 2 - 135 Deaths [ ],11 unnamed Whisperers,Killed by the Su rv iv o r s,Daryl Dixon Carol Peletier Aaron Jerry Connie Kelly Magna,11
10,Part 2 - 135 Deaths [ ],Alive and Zombified - Alfred,Stomach slashed open by Beta off-screen and then put down by a Coalition member off-screen.,Beta (Alive) Coalition member (Zombified),2
10,Part 2 - 135 Deaths [ ],Alive and Zombified - Alexandria Guard,Killed by Beta off-screen and then put down by a Coalition member off-screen.,Beta ( Alive ) Coalition member (Zombified),2
10,Part 2 - 135 Deaths [ ],Alive and Zombified - Panicked Woman,Throat slit by Beta off-screen and then put down by a Coalition member off-screen.,Beta ( Alive ) Coalition member (Zombified),2
10,Part 2 - 135 Deaths [ ],Laura,Neck broken after being slammed against prison bars by Beta . She is presumably put down before reanimation by a Coalition member off-screen like Beta's other victims.,"Beta (Alive) The Coalition (Before Reanimation, Assumed)",1
10,Part 2 - 135 Deaths [ ],Alive and Zombified - 10 unnamed Alexandria residents,Killed by Beta off-screen and then put down by the Coalition off-screen.,Beta (Alive) The Coalition (Zombified),10
10,Part 2 - 135 Deaths [ ],3 unnamed Whisperers,Stabbed by Daryl Dixon .,Daryl Dixon,3
10,Part 2 - 135 Deaths [ ],Alive and Zombified - Felix,"Hanged by the Whisperers and then put down by Daryl Dixon , Lydia , or Dianne .","Whisperers (Alive) Daryl Dixon , Lydia , or Dianne (Zombified)",2
10,Part 2 - 135 Deaths [ ],Alive and Zombified - Penny,"Hanged by the Whisperers and then put down by Daryl Dixon , Lydia , or Dianne .","Whisperers (Alive) Daryl Dixon , Lydia , or Dianne (Zombified)",2
10,Part 2 - 135 Deaths [ ],1 Unnamed Hilltop Resident,Burnt alive by the Whisperers .,Whisperers,1
10,Part 2 - 135 Deaths [ ],Whisperer 15,Stabbed in the stomach.,Judith Grimes,1
10,Part 2 - 135 Deaths [ ],6 unnamed Whisperers,Killed by the Coalition,The Coalition,6
10,Part 2 - 135 Deaths [ ],"Alex , Quan , Brianna and many unnamed members of the Coalition",,,
10,Part 2 - 135 Deaths [ ],Alive - Troy,Burned alive.,The Whisperers,1
10,Part 2 - 135 Deaths [ ],1 Unnamed Hilltop Resident,Mortally wounded by the Whisperers and head bashed in with a baseball bat out of mercy.,The Whisperers (Caused) Negan Smith (Out of Mercy),1
10,Part 2 - 135 Deaths [ ],Alive and Zombified - Mary,Disemboweled by Beta and later shot with an arrow by Alden .,Beta (Alive) Alden (Zombified),2
10,Part 2 - 135 Deaths [ ],Whisperer 14,Throat slit by Beta .,Beta,1
10,Part 2 - 135 Deaths [ ],Alive and Zombified - Earl Sutton,Bitten on the arm by a walker . Head smashed into a railroad spike and put down by Judith Grimes .,"Zombies (Caused) Himself (Alive, Suicide) Judith Grimes (Zombified)",2
10,Part 2 - 135 Deaths [ ],Alpha,Throat slit and decapitated by Negan Smith .,Negan Smith,1
10,Part 2 - 135 Deaths [ ],Lisa,Suicide via hanging. Later stabbed in the head by Michonne Grimes .,"Herself (Alive, Suicide) Michonne Grimes (Zombified)",2
10,Part 2 - 135 Deaths [ ],Jasmine,Suicide via hanging. Later stabbed in the head by Michonne Grimes .,"Herself (Alive, Suicide) Michonne Grimes (Zombified)",2
10,Part 2 - 135 Deaths [ ],Bobby,Suicide via hanging. Later stabbed in the head by Michonne Grimes .,"Himself (Alive, Suicide) Michonne Grimes (Zombified)",2
10,Part 2 - 135 Deaths [ ],27 unnamed Bloodsworth Island survivors,Died of un Unknown illness.,Unknown illness,27
10,Part 2 - 135 Deaths [ ],Rufus,"Ear bitten off by a zombified Alpha . Later, he is stabbed through the back by Beta and devoured by a walker","Himself (Accidental, Caused) Alpha (Infected, Caused) Beta (Caused) Zombies",1
10,Part 2 - 135 Deaths [ ],Whisperer 16,Shot in the head with Alpha 's shotgun by Negan Smith .,Negan Smith,1
10,Part 2 - 135 Deaths [ ],2 unnamed Whisperers,"Slammed in the head with a shotgun, stabbed in the head by Negan Smith .",Negan Smith,2
10,Part 2 - 135 Deaths [ ],Zombified - Alpha,Stabbed in the head by Beta .,Beta,1
10,Part 2 - 135 Deaths [ ],Whisperer 18,Shot in the head with a crossbow bolt by Daryl Dixon .,Daryl Dixon,1
10,Part 2 - 135 Deaths [ ],Whisperer 20,Stabbed in the abdomen by Carol Peletier and devoured by walkers .,Carol Peletier (Caused) Zombies,1
10,Part 2 - 135 Deaths [ ],Beatrice,Stabbed in the leg by a Whisperer and then immediately devoured by walkers .,Whisperer 19 (Caused) Zombies,1
10,Part 2 - 135 Deaths [ ],2 unnamed Oceanside residents,Killed by a granade thrown by the Whisperers .,Whisperers,2
10,Part 2 - 135 Deaths [ ],Oscar,Stabbed in the chest with a knife thrown by a Whisperer .,Whisperers,1
10,Part 2 - 135 Deaths [ ],32 unnamed Whisperers,Killed by the Coalition .,Daryl Dixon Carol Peletier Jerry Jules Butler Luke Abrams Marco Magna Gabriel Stokes Elijah Maggie Rhee Dianne Aaron Alden,32
10,Part 2 - 135 Deaths [ ],Beta,Stabbed in the eyes by Daryl Dixon and devoured by walkers .,Negan Smith (Caused) Daryl Dixon (Caused) Zombies,1
10,Part 3 - 20 Deaths [ ],Jen,Killed by the Attacker .,The Attacker,1
10,Part 3 - 20 Deaths [ ],Billy,Killed by the Attacker .,The Attacker,1
10,Part 3 - 20 Deaths [ ],Matty,Killed by the Attacker .,The Attacker,1
10,Part 3 - 20 Deaths [ ],Gus,Shot in the neck by the Attacker .,The Attacker,1
10,Part 3 - 20 Deaths [ ],Ainsley,Shot in the stomach by the Attacker .,The Attacker,1
10,Part 3 - 20 Deaths [ ],Maya,Shot in the chest by the Attacker .,The Attacker,1
10,Part 3 - 20 Deaths [ ],The Attacker,Suicide via grenade.,Himself (Suicide),1
10,Part 3 - 20 Deaths [ ],Matthew Shaw,Bitten by a walker . Later put down by Leah Shaw,Walkers (Alive) Leah Shaw (Before Reanimation or Zombified),1
10,Part 3 - 20 Deaths [ ],Mays,Head smashed in by Gabriel Stokes .,Gabriel Stokes,1
10,Part 3 - 20 Deaths [ ],Mays' Brother,Suicide via self-inflicted gunshot to the head.,Mays (Caused) Himself (Suicide),1
10,Part 3 - 20 Deaths [ ],Mays' Sister-in-Law,Shot in the head.,Mays (Caused) Mays' Brother,1
10,Part 3 - 20 Deaths [ ],Mays' Niece,Shot in the head.,Mays (Caused or Direct) Mays' Brother,1
10,Part 3 - 20 Deaths [ ],Lucille Smith,Ingested a drug overdose and suffocated herself with a plastic bag. Later burned by Negan Smith .,"Herself (Suicide, Alive) Negan Smith (Zombified)",1
10,Part 3 - 20 Deaths [ ],Viper 2,Head smashed by Negan Smith using his baseball bat .,Negan Smith,1
10,Part 3 - 20 Deaths [ ],Viper 3,Shot in the head by Negan Smith .,Negan Smith,1
10,Part 3 - 20 Deaths [ ],Viper 1,Shot by Negan Smith .,Negan Smith,1
10,Part 3 - 20 Deaths [ ],2 Unnamed Valak's Vipers,Shot by Negan Smith .,Negan Smith,2
10,Part 3 - 20 Deaths [ ],Craven,Head smashed by Negan Smith using his baseball bat .,Negan Smith,1
11,Part 1 - 28 Deaths [ ],Alive - Teresa,Killed by the Reapers .,Reapers,1
11,Part 1 - 28 Deaths [ ],Alive - Josephine,Killed by Brandon Carver .,Brandon Carver,1
11,Part 1 - 28 Deaths [ ],Alive and Zombified - Gage,"Stabbed himself twice through the heart, then devoured by walkers. Later put down by Gabriel Stokes .","Himself (Suicide, Alive) Maggie Rhee (Caused) Gabriel Stokes (Caused; Zombified) Duncan (Caused) Frost (Caused) Agatha (Caused) Cole (Caused)",2
11,Part 1 - 28 Deaths [ ],Roy,Shot in the head by a Reaper .,The Reapers,1
11,Part 1 - 28 Deaths [ ],Cole,Throat slit by Jenson .,Jenson,1
11,Part 1 - 28 Deaths [ ],Michael Turner,Stabbed in the neck with a broken bottle by Maggie Rhee and then bashed in the head by Negan Smith .,Maggie Rhee Negan Smith,1
11,Part 1 - 28 Deaths [ ],Duncan,Impaled with three knives thrown by the Reapers and bled to death. Stabbed in the head by Maggie Rhee .,The Reapers Maggie Rhee (Before Reanimation),1
11,Part 1 - 28 Deaths [ ],Nicholls,Stabbed in the head by Gabriel Stokes .,Daryl Dixon (Caused) Gabriel Stokes,1
11,Part 1 - 28 Deaths [ ],Agatha,Devoured by walkers .,Zombies,1
11,Part 1 - 28 Deaths [ ],Bossie,Burned alive by Pope .,Himself (Caused) Pope,1
11,Part 1 - 28 Deaths [ ],Savior 14,Devoured by a walker .,Zombies,1
11,Part 1 - 28 Deaths [ ],Zombified - Troy,Stabbed in the head by Aaron .,Aaron,1
11,Part 1 - 28 Deaths [ ],6 Unnamed Ferals,Devoured by walkers .,Zombies,6
11,Part 1 - 28 Deaths [ ],2 Unnamed Ferals,Shot in the head with a slingshot by Kelly .,Kelly,2
11,Part 1 - 28 Deaths [ ],Frost,Tortured to death by Pope .,Pope,1
11,Part 1 - 28 Deaths [ ],Zombified - Teresa,Stabbed in the head by Maggie Rhee .,Maggie Rhee,1
11,Part 1 - 28 Deaths [ ],Young Mother,Shot in the head with a crossbow bolt by Daryl Dixon after being bitten by walkers .,Zombies (Caused) Daryl Dixon (Out of Mercy),1
11,Part 1 - 28 Deaths [ ],Paul Wells,"Stabbed by Negan Smith and Maggie Rhee , then devoured by walkers .",Maggie Rhee Negan Smith Zombies,1
11,Part 1 - 28 Deaths [ ],Marcus Powell,Stabbed in the throat by Daryl Dixon .,Daryl Dixon,1
11,Part 1 - 28 Deaths [ ],Ancheta,Stabbed in the chest with a knife thrown by Daryl Dixon .,Daryl Dixon,1
11,Part 1 - 28 Deaths [ ],Deaver,Shot in the head by Gabriel Stokes .,Gabriel Stokes,1
11,Part 1 - 28 Deaths [ ],Pope,Stabbed in the neck and then stabbed in the back of the head by Leah Shaw .,Leah Shaw,1
11,Part 2 - 118 Deaths [ ],Zombified - Josephine,Blown up by the hwacha .,"Leah Shaw (Zombified, Caused) The Reapers (Zombified)",1
11,Part 2 - 118 Deaths [ ],Fisher,Blown up by the hwacha set off by Leah Shaw after being pushed by Maggie Rhee .,Leah Shaw (Accidental) Maggie Rhee (Caused),1
11,Part 2 - 118 Deaths [ ],Austin,"Stabbed in the stomach, then strangled and suffocated to death by Daryl Dixon .",Daryl Dixon,1
11,Part 2 - 118 Deaths [ ],Mancea,Stabbed in the stomach by Gabriel Stokes .,Gabriel Stokes,1
11,Part 2 - 118 Deaths [ ],Jenson,Stabbed in the head by Gabriel Stokes offscreen.,Gabriel Stokes,1
11,Part 2 - 118 Deaths [ ],Boone,Shot in the head by Maggie Rhee .,Maggie Rhee,1
11,Part 2 - 118 Deaths [ ],Ira Washington,Shot in the shoulder and in the head by Maggie Rhee .,Maggie Rhee,1
11,Part 2 - 118 Deaths [ ],Brandon Carver,Stabbed in the chest by Maggie Rhee .,Maggie Rhee,1
11,Part 2 - 118 Deaths [ ],Montanio,Killed by Alden . Later put down by Maggie Rhee .,Alden (Alive) Maggie Rhee (Zombified),1
11,Part 2 - 118 Deaths [ ],Alden,Throat slit by Montanio . Later put down by Maggie Rhee .,Montanio (Alive) Maggie Rhee (Zombified),1
11,Part 2 - 118 Deaths [ ],William Milton,Unknown cause.,Unknown,1
11,Part 2 - 118 Deaths [ ],4 Unnamed Commonwealth soldiers - Alive,Killed by Leah Shaw .,Leah Shaw,4
11,Part 2 - 118 Deaths [ ],"Billy Johnson and 19 unnamed raiders, murderers, rapists, and cannibals",Killed by Riverbend,Riverbend Ian (Caused or Direct),19
11,Part 2 - 118 Deaths [ ],Hart and 6 unnamed members of Riverbend,Killed by Toby Carlson and Commonwealth soldiers .,Toby Carlson Commonwealth Army,7
11,Part 2 - 118 Deaths [ ],Ian,Shot in the head by Toby Carlson .,Toby Carlson,1
11,Part 2 - 118 Deaths [ ],2 Unnamed Commonwealth soldiers,"Head smashed in by Aaron . Stabbed in the throat by Annie Smith , then stabbed in the head before reanimation by Toby Carlson .",Aaron Annie Smith Toby Carlson (Before Reanimation),2
11,Part 2 - 118 Deaths [ ],Jesse,"Shot in the back by a Commonwealth soldier and bled out. Later put down by Lydia , Elijah or Marco .","a Commonwealth soldier (Alive) Lydia , Elijah or Marco (Before Reanimation)",1
11,Part 2 - 118 Deaths [ ],Zombified - 3 Unnamed Commonwealth soldiers,"Put down by Maggie Rhee , Lydia and Elijah .","Maggie Rhee , Lydia , Elijah",3
11,Part 2 - 118 Deaths [ ],Hodges and 1 unnamed Commonwealth soldier,"Killed by Maggie Rhee , Lydia or Elijah",Maggie Rhee Lydia Elijah,2
11,Part 2 - 118 Deaths [ ],6 Unnamed members of Riverbend,Thrown off of the roof by Toby Carlson .,Toby Carlson,6
11,Part 2 - 118 Deaths [ ],12 Unnamed members of Riverbend,Shot by Toby Carlson and the Commonwealth soldiers .,Toby Carlson Commonwealth Army,12
11,Part 2 - 118 Deaths [ ],Jake Daniels,Bashed over and then stabbed in the head by Negan Smith .,Negan Smith,1
11,Part 2 - 118 Deaths [ ],April Martens,Disemboweled by walkers . Later stabbed in the head by Rosita Espinosa .,Zombies (Alive) Rosita Espinosa (Before Reanimation),1
11,Part 2 - 118 Deaths [ ],Green and 1 unnamed Commonwealth soldiers,Stabbed by Elijah .,Elijah,2
11,Part 2 - 118 Deaths [ ],Crowe and 1 unnamed Commonwealth soldiers,Shot by Maggie Rhee and Annie Smith .,Maggie Rhee Annie Smith,2
11,Part 2 - 118 Deaths [ ],Toby Carlson,"Shot off a roof by Aaron and devoured by walkers . Later stabbed in the head by Maggie Rhee , Elijah or Lydia .","Aaron (Caused) Zombies Maggie Rhee , Elijah , Lydia (Before Reanimation)",1
11,Part 2 - 118 Deaths [ ],Alves,Shot in the head by Michael Mercer .,Michael Mercer,1
11,Part 2 - 118 Deaths [ ],Castle,Shot in the head by Michael Mercer .,Michael Mercer,1
11,Part 2 - 118 Deaths [ ],30 to 40 Unnamed Commonwealth residents,Devoured by walkers .,"Sebastian Milton , Alves , Castle (Caused) Zombies",30/40
11,Part 2 - 118 Deaths [ ],McHugh and 2 Unnamed Commonwealth soldiers,"Killed by Daryl Dixon , Gabriel Stokes and Aaron .",Daryl Dixon Gabriel Stokes Aaron,3
11,Part 2 - 118 Deaths [ ],Phillips,Stabbed in the leg and kicked in the head by Gabriel Stokes .,Gabriel Stokes,1
11,Part 2 - 118 Deaths [ ],Romano,Shot in the head by Daryl Dixon .,Daryl Dixon,1
11,Part 2 - 118 Deaths [ ],Sorensen and 3 Unnamed Commonwealth soldiers,"Blown up in a trap set by Maggie Rhee , Lydia , Elijah and Marco .",Maggie Rhee Lydia Elijah Marco,4
11,Part 2 - 118 Deaths [ ],Marco,Shot in the head by Leah Shaw .,Leah Shaw,1
11,Part 2 - 118 Deaths [ ],Zombified - 1 Unnamed Commonwealth soldiers,Shot in the head by the Commonwealth Army .,Commonwealth Army,1
11,Part 2 - 118 Deaths [ ],1 Unnamed Commonwealth soldier,Throat slit by Gabriel Stokes .,Gabriel Stokes,1
11,Part 2 - 118 Deaths [ ],Leah Shaw,Shot in the head by Daryl Dixon .,Daryl Dixon,1
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth soldier,Stabbed in the side by Negan Smith .,Negan Smith,1
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth soldier,Devoured by walkers .,Zombies,1
11,Part 3 - 115 Deaths [ ],3 Unnamed Commonwealth soldiers,Shot in the head by Daryl Dixon .,Daryl Dixon,3
11,Part 3 - 115 Deaths [ ],2 Unnamed Commonwealth soldiers,Died in a car crash caused by Daryl Dixon .,Daryl Dixon,2
11,Part 3 - 115 Deaths [ ],Radio Trooper,Stabbed in the back by Maggie Rhee .,Annie Smith (Caused) Maggie Rhee,1
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth soldier,Ripped in half and devoured by walkers .,Zombies,1
11,Part 3 - 115 Deaths [ ],Alive - 10 Unnamed Commonwealth residents,Shot to death by Roman Calhoun and Shira on Lance Hornsby 's orders.,Lance Hornsby (Caused) Roman Calhoun Shira,8
11,Part 3 - 115 Deaths [ ],Sebastian Milton 's Brother,Unknown Causes.,Unknown Causes,1
11,Part 3 - 115 Deaths [ ],6 Unnamed Commonwealth residents,Bitten and devoured by walkers .,Lance Hornsby (Caused) Roman Calhoun (Caused) Shira (Caused) Zombies,5
11,Part 3 - 115 Deaths [ ],Zombified - 2 Unnamed Commonwealth residents,Shot in the head by Michael Mercer .,Michael Mercer,2
11,Part 3 - 115 Deaths [ ],Zombified - 1 Unnamed Commonwealth resident,Shot in the head by Daryl Dixon .,Daryl Dixon,1
11,Part 3 - 115 Deaths [ ],Zombified - 1 Unnamed Commonwealth resident,Shot in the head by Judith Grimes .,Judith Grimes,1
11,Part 3 - 115 Deaths [ ],Zombified - 5 Unnamed Commonwealth residents,"Put down by Daryl Dixon , Judith Grimes or Michael Mercer .",Daryl Dixon Judith Grimes Michael Mercer,5
11,Part 3 - 115 Deaths [ ],Alive - Sebastian Milton,Bitten on the neck by a zombified Commonwealth resident after it being shoved at him by Eugene Porter .,Lance Hornsby (Caused) Roman Calhoun (Caused) Shira (Caused) Maxxine Mercer (Caused) Eugene Porter (Caused) Zombified Commonwealth resident (Infected) Himself (Caused),1
11,Part 3 - 115 Deaths [ ],Zombified - 1 Unnamed Commonwealth resident,Shot in the head by Judith Grimes .,Judith Grimes,1
11,Part 3 - 115 Deaths [ ],Roman Calhoun,Shot in the head by a Commonwealth soldier on Pamela Milton 's orders.,Lance Hornsby (Caused) Himself (Caused) Pamela Milton (Caused) Unnamed Commonwealth soldier,1
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth resident,Killed by Daryl Dixon . Later Stabbed in the head by Daryl Dixon.,Daryl Dixon (Alive and Zombified),2
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth resident,Bitten on the neck by un undead Commonwealth resident and stabbed in the head by Daryl Dixon .,"Commonwealth resident (Cuased, Infected) Daryl Dixon",1
11,Part 3 - 115 Deaths [ ],Zombified - Sebastian Milton,Stabbed in the head by Daryl Dixon .,Daryl Dixon,1
11,Part 3 - 115 Deaths [ ],3 Unnamed Commonwealth soldiers,Shot by Daryl Dixon .,Daryl Dixon,3
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth soldier,Shot by Daryl Dixon and stabbed in the head by Carol Peletier .,Daryl Dixon (Caused) Carol Peletier,1
11,Part 3 - 115 Deaths [ ],Alive - Lance Hornsby,Shot in the neck with an arrow by Carol Peletier .,Daryl Dixon (Caused) Himself (Caused) Carol Peletier,1
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth soldier,Shot in the head by a Commonwealth soldier .,Maggie Rhee (Caused) Commonwealth soldier (Accidental),1
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth soldier,Impaled on a tree after a car crash caused by Maggie Rhee .,Maggie Rhee (Caused),1
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth soldier,Thrown out of the back of a moving truck by Maggie Rhee . He is later put down by Rosita Espinosa .,"Maggie Rhee (Alive) Gabriel Stokes (Caused, Zombified) Rosita Espinosa (Zombified)",
11,Part 3 - 115 Deaths [ ],Child Walker,Unknown causes. He is later put down by Maggie Rhee .,Unknown Causes (Alive) Maggie Rhee (Zombified),1
11,Part 3 - 115 Deaths [ ],Nelson,Stabbed in the armpit by Maggie Rhee . He is later stabbed in the head by Gabriel Stokes .,Maggie Rhee (Alive) Gabriel Stokes (Before Reanimation),1
11,Part 3 - 115 Deaths [ ],2 Unnamed Commonwealth residents,Shot by the Commonwealth Army and reanimates. They are later put down.,"Themselves (Caused, Alive) Commonwealth Army (Alive and Zombified)",2
11,Part 3 - 115 Deaths [ ],1 Unnamed Alexandria resident,Shot by the Commonwealth Army .,"Himself (Caused, Alive) Commonwealth Army (Alive and Zombified)",1
11,Part 3 - 115 Deaths [ ],Trooper 301,Killed by Gabriel Stokes and Rosita Espinosa .,Gabriel Stokes Rosita Espinosa,1
11,Part 3 - 115 Deaths [ ],Trooper 263,Shot in the head by Daryl Dixon .,Daryl Dixon,1
11,Part 3 - 115 Deaths [ ],Trooper 192,Shot in the neck by Maggie Rhee .,Maggie Rhee,1
11,Part 3 - 115 Deaths [ ],Jones,Hit with a motorcycle and then stabbed in the head by Daryl Dixon .,Daryl Dixon,1
11,Part 3 - 115 Deaths [ ],Wilson,"Stabbed himself in the neck. Later stabbed in the head by Daryl Dixon , Carol Peletier , Gabriel Stokes , Maggie Rhee , Rosita Espinosa or Connie .","The Warden (Indirectly Caused) Himself (Alive, Suicide) Daryl Dixon Carol Peletier Gabriel Stokes Maggie Rhee Rosita Espinosa Connie (Before Reanimation)",1
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth soldier,Shot in the head by Carol Peletier .,Carol Peletier,1
11,Part 3 - 115 Deaths [ ],At least 11 unnamed Commonwealth prisoners,Shot by the Commonwealth Army .,The Warden (Caused) Commonwealth Army,11
11,Part 3 - 115 Deaths [ ],Sanborn,"Shot by Roberts and reanimates. He is later put down by Rosita Espinosa , Daryl Dixon , Connie , Carol Peletier , Gabriel Stokes or Maggie Rhee .",Himself (Caused) Roberts (Alive) Rosita Espinosa Daryl Dixon Connie Carol Peletier Gabriel Stokes Maggie Rhee (Zombified),1
11,Part 3 - 115 Deaths [ ],The Warden,"Bitten on the face and devoured by a zombified Sanborn . He is later stabbed in the head to prevent reanimation by Rosita Espinosa , Daryl Dixon , Connie , Carol Peletier , Gabriel Stokes or Maggie Rhee .","Ezekiel Sutton (Caused, Alive) Roberts (Caused, Alive) Daryl Dixon (Caused, Alive; Before Reanimation) Rosita Espinosa (Caused, Alive; Before Reanimation) Sanborn (Infected, Alive) Connie Carol Peletier Gabriel Stokes Maggie Rhee (Before Reanimation)",1
11,Part 3 - 115 Deaths [ ],Brooks,Head bashed in with a flashlight by Eugene Porter .,Eugene Porter,1
11,Part 3 - 115 Deaths [ ],Tyler Davis and 4 unnamed Commonwealth prisoners,Shot by the Commonwealth residents.,Pamela Milton (Caused) Commonwealth residents,5
11,Part 3 - 115 Deaths [ ],1 unnamed Commonwealth resident,Shot in the head by a member of the Coalition .,The Coalition,1
11,Part 3 - 115 Deaths [ ],1 unnamed Commonwealth resident,Shot in the head by Carol Peletier .,Carol Peletier,1
11,Part 3 - 115 Deaths [ ],1 unnamed Commonwealth resident,Shot in the chest by Gabriel Stokes .,Gabriel Stokes,1
11,Part 3 - 115 Deaths [ ],Livits,Devoured by climbers .,Pamela Milton (Caused) Zombies,1
11,Part 3 - 115 Deaths [ ],14 Unnamed Commonwealth soldiers,Devoured by walkers .,"Pamela Milton (Caused) Livits (Caused, Accidental) Zombies",14
11,Part 3 - 115 Deaths [ ],Jules Butler,Devoured by walkers .,"Pamela Milton (Caused) Livits (Caused, Accidental) Zombies",1
11,Part 3 - 115 Deaths [ ],Luke Abrams,Bitten on the leg by a walker and dies of blood loss. Later stabbed in the head by Magna to prevent reanimation.,"Pamela Milton (Caused) Livits (Caused, Accidental) Zombies (Caused, Alive) Connie (Caused) Kelly (Caused) Yumiko Okumura (Caused) Magna (Caused; Before Reanimation)",1
11,Part 3 - 115 Deaths [ ],6 Unnamed Commonwealth residents,Devoured by walkers .,"Pamela Milton (Caused) Livits (Caused, Accidental) Zombies",6
11,Part 3 - 115 Deaths [ ],Adrienne,Devoured by walkers .,"Pamela Milton (Caused) Livits (Caused, Accidental) Zombies",1
11,Part 3 - 115 Deaths [ ],1 Unnamed Commonwealth resident,Devoured by walkers .,"Pamela Milton (Caused) Livits (Caused, Accidental) Zombies",1
11,Part 3 - 115 Deaths [ ],3 Unnamed Commonwealth residents,Shot by the Commonwealth Army .,Pamela Milton (Caused) Commonwealth Army,2
11,Part 3 - 115 Deaths [ ],Zombified - Lance Hornsby,Shot in the head by Maggie Rhee .,Maggie Rhee,1
11,Part 3 - 115 Deaths [ ],Marissa Berot and many Commonwealth residents,Devoured by walkers .,"Pamela Milton (Caused) Livits (Caused, Accidental) Zombies",1+
11,Part 3 - 115 Deaths [ ],Rosita Espinosa,Bitten on the left shoulder by a walker and succumbed to the infection. Later stabbed in the head by Eugene Porter to prevent reanimation.,"Pamela Milton (Caused) Livits (Caused, Accidental) Zombies (Alive) Eugene Porter (Before Reanimation)",1
